id,serial,modelo,precio_costo_usd,envios_repuestos,precio_venta_usd,sucursal,condicion,procesador,slots,tipo_ram,ram,ssd,hdd,so,pantalla,resolucion,placa_video,vram,teclado_retro,idioma_teclado,color,bateria,duracion,garantia_update,garantia_oficial,fallas,disponible,ingreso,created_at,updated_at,marca,refresh,touchscreen
64,PF2AJ28X,Lenovo IdeaPad L340 17IWL (1),250,50,350,LA PLATA,REFURBISHED,i3-8145U,,DDR4,16GB,256GB,500GB,WIN 10,"17,3''",1600x900,Intel UHD Graphics 620,,,Ingles,Silver,100%,6-7HS,6 meses,,Serial distinto en la tapa,TRUE,,,,Lenovo,,FALSE
65,...6E96600,Acer TravelMate 514 X5,250,0,300,LA PLATA,REFURBISHED,i5-8265U,0,DDR4,8GB ,256GB,,WIN10,14'',FHD,Intel UHD Graphics,,,Ingles,,100%,,6 meses,,Se dobló el case cuando se abrió y quedó con una marca,TRUE,,,,Lenovo,,FALSE
66,PF1VSRFQ,Lenovo IdeaPad L340 17IWL (3),250,50,400,LA PLATA,REFURBISHED,i3-8145U,,DDR4,16GB,256GB,1TB,WIN 10,"17,3''",1600x900,Intel UHD Graphics 620,,,Ingles,Silver,100%,,6 meses,,"Distinto serial en la tapa, sticker de ryzen",TRUE,,,,Acer,,FALSE
67,PF1CBNY2,Lenovo IdeaPad L340 17API (1),250,60,400,LA PLATA,REFURBISHED,Ryzen 5 3500U,,DDR4,16GB,256GB,1TB,WIN 10,"17,3''",1600x900,AMD Radeon Vega,,,Ingles,Silver,100%,,6 meses,,Serial distinto en la tapa,TRUE,,,,Lenovo,,FALSE
68,PF39S6EK,Lenovo Ideapad 3 15IML05,160,20,250,MITRE,USADA,i3-10110U,1,DDR4,20GB,128GB,1TB,10 PRO,"15,6''",HD,Intel UHD Graphics,,NO,Inglés,,84%,5-6HS,3 meses,,,TRUE,,,,Lenovo,,FALSE
69,5W0G5M2,Dell Latitude 7480,100,55,250,LA PLATA,OTRO,i5-7200U,2,DDR4,20GB,256GB,,WIN11,14'',FHD,Intel HD Graphics 620,,SI,Inglés,Negra,80%,,3 meses,,,TRUE,,,,Lenovo,,FALSE
70,PF13USP4,Lenovo Thinkpad X1 Carbon G5,117,49,260,LA PLATA,USADA,i5-7300U,,LPDDR3 ,8GB,256GB,,WIN11,14'',FHD,Intel UHD Graphics 620,,SI,Inglés,Negra,61%,-,3 meses,,Tapa bastante rayada,TRUE,,,,Dell,,FALSE
71,PF1728KF,Lenovo Thinkpad X1 Carbon G5,118,67,290,MITRE,USADA,i5-7300U,,LPDDR3 ,8GB,256GB,,WIN11,14'',FHD,Intel UHD Graphics 620,,SI,Inglés,Negra,84%,-,3 meses,,,TRUE,,,,Lenovo,,FALSE
72,C2PF633,Dell Latitude 7400,90,55,290,LA PLATA,USADA,i5-8365U,,DDR4,16GB,256GB,,WIN11,14'' ,FHD,Intel UHD Graphics 620,,NO,Español,Gris,68%,,3 meses,,"Detalles esteticos, rayada",TRUE,,,,Lenovo,,FALSE
73,F0HQ5H2,Dell Latitude 7480,67,66,300,LA PLATA,USADA,i7-7600U,2,DDR4,16GB,256GB,,WIN11,14'',FHD,Intel HD Graphics 620,1GB,SI,Inglés,Negra,70%,4-5HS,3 meses,,Tiene un vinilo en la tapa,TRUE,,,,Dell,,FALSE
